date,open,high,low,close,volume
2023-11-23,3041.678,3062.867,3034.297,3061.856,27659205900
2023-11-24,3060.331,3060.331,3037.201,3040.972,28778841300
2023-11-27,3038.186,3038.358,3015.008,3031.7,31051786800
2023-11-28,3028.598,3039.695,3020.231,3038.555,26892074600
2023-11-29,3038.464,3038.977,3017.661,3021.687,27795644800
2023-11-30,3021.103,3030.909,3013.768,3029.673,28294535700
2023-12-01,3027.353,3035.76,3010.233,3031.636,28608970000
2023-12-04,3033.298,3038.979,3022.348,3022.914,28816205300
2023-12-05,3017.01,3017.01,2972.296,2972.296,29394327800
2023-12-06,2966.948,2985.314,2959.603,2968.933,29410418700
2023-12-07,2965.652,2976.015,2949.144,2966.206,29624368700
2023-12-08,2965.39,2980.834,2962.327,2969.559,36913870500
2023-12-11,2956.291,2995.67,2930.422,2991.439,36021634400
2023-12-12,2986.328,3003.746,2980.446,3003.438,28763876200
2023-12-13,2997.336,2997.336,2968.761,2968.761,28275409800
2023-12-14,2979.699,2986.177,2958.066,2958.986,27145765000
2023-12-15,2966.302,2976.309,2940.027,2942.557,28932764200
2023-12-18,2936.575,2951.148,2924.325,2930.804,29308699900
2023-12-19,2928.763,2940.501,2914.125,2932.391,26592698000
2023-12-20,2932.119,2937.101,2902.04,2902.11,26556245400
2023-12-21,2892.02,2924.256,2882.02,2918.715,28254182700
2023-12-22,2919.288,2935.7,2906.509,2914.775,29662836700
2023-12-25,2909.875,2920.632,2903.987,2918.813,22981417800
2023-12-26,2917.971,2917.971,2892.837,2898.879,22814085500
2023-12-27,2900.149,2917.956,2890.165,2914.614,24790088200
2023-12-28,2913.11,2961.648,2909.389,2954.704,33921311600
2023-12-29,2950.837,2975.032,2950.017,2974.935,29067268700
2024-01-02,2972.775,2976.268,2962.276,2962.276,30414179300
2024-01-03,2957.112,2971.283,2953.29,2967.247,28545594500
2024-01-04,2965.509,2966.683,2936.635,2954.349,26498092400
2024-01-05,2949.822,2967.968,2916.721,2929.183,30104023900
2024-01-08,2923.457,2924.456,2887.538,2887.538,27027505500
2024-01-09,2887.11,2900.727,2878.412,2893.251,26295597500
2024-01-10,2886.981,2903.162,2870.416,2877.702,24404652600
2024-01-11,2873.798,2896.179,2867.722,2886.65,26705076400
2024-01-12,2880.04,2904.174,2878.875,2881.977,26160293100
2024-01-15,2872.556,2904.464,2869.224,2886.291,24461123600
2024-01-16,2881.56,2896.683,2861.13,2893.989,28628671400
2024-01-17,2887.292,2887.489,2833.615,2833.615,26125130800
2024-01-18,2822.667,2849.256,2760.978,2845.784,39039685500
2024-01-19,2836.975,2849.876,2822.843,2832.279,26666438800
2024-01-22,2826.503,2828.32,2735.372,2756.34,35016575800
2024-01-23,2746.892,2784.841,2724.157,2770.976,30874941700
2024-01-24,2782.142,2823.695,2743.397,2820.772,36907060000
2024-01-25,2823.826,2906.794,2821.709,2906.109,44200904500
2024-01-26,2897.915,2924.307,2890.482,2910.223,42110908400
2024-01-29,2910.607,2923.899,2883.333,2883.356,41058131100
2024-01-30,2866.28,2881.347,2829.25,2830.527,33566122600
2024-01-31,2815.504,2834.011,2782.587,2788.548,37710396500
2024-02-01,2773.424,2805.015,2752.782,2770.74,35288918500
2024-02-02,2773.295,2791.676,2666.334,2730.152,42623019900
2024-02-05,2716.081,2739.738,2635.09,2702.185,47899029200
2024-02-06,2680.485,2802.931,2669.673,2789.486,50284931300
2024-02-07,2791.515,2829.696,2770.529,2829.696,54711743900
2024-02-08,2832.486,2867.474,2827.902,2865.903,53110889300
2024-02-19,2886.587,2910.544,2867.71,2910.544,45896770400
2024-02-20,2902.877,2927.308,2887.474,2922.73,35013873500
2024-02-21,2906.024,2994.615,2898.05,2950.956,44424546300
2024-02-22,2945.447,2988.358,2944.499,2988.358,35413253600
2024-02-23,2992.912,3009.136,2979.973,3004.881,38008327000
2024-02-26,3002.118,3009.479,2967.057,2977.022,40902655800
2024-02-27,2966.417,3015.481,2961.148,3015.481,37298468700
2024-02-28,3016.256,3031.488,2957.852,2957.852,54410909300
2024-02-29,2943.624,3015.171,2943.624,3015.171,40969637400
2024-03-01,3013.823,3032.232,3003.763,3027.02,37913218400
2024-03-04,3026.607,3040.345,3007.683,3039.306,38776000200
2024-03-05,3027.103,3052.541,3022.178,3047.793,38350995500
2024-03-06,3041.752,3060.563,3034.354,3039.931,34098273900
2024-03-07,3040.211,3063.692,3023.118,3027.401,37715439100
2024-03-08,3026.165,3049.194,3016.903,3046.019,31920439200
2024-03-11,3042.619,3068.455,3035.445,3068.455,36160882100
2024-03-12,3068.182,3075.131,3044.857,3055.935,41574391400
2024-03-13,3053.341,3061.951,3031.899,3043.835,36504745300
2024-03-14,3042.413,3059.998,3020.637,3038.234,36407229000
2024-03-15,3031.523,3056.447,3023.215,3054.636,36026846300
2024-03-18,3057.209,3085.312,3055.922,3084.926,40665350800
2024-03-19,3077.981,3090.046,3062.628,3062.756,38412368000
2024-03-20,3058.648,3081.755,3056.645,3079.686,34918772900
2024-03-21,3084.412,3090.051,3069.272,3077.113,36687796800
2024-03-22,3070.548,3073.206,3027.762,3048.034,39474048600
2024-03-25,3040.501,3065.261,3026.306,3026.306,38748538900
2024-03-26,3026.922,3036.494,3006.26,3031.481,34592878700
2024-03-27,3026.814,3030.45,2993.139,2993.139,34319801000
2024-03-28,2988.59,3033.367,2984.12,3010.664,35320002600
2024-03-29,3008.376,3041.298,3008.167,3041.167,33482278500
2024-04-01,3049.021,3078.488,3049.021,3077.379,37539364000
2024-04-02,3076.875,3085.537,3063.981,3074.959,36730426200
2024-04-03,3074.893,3079.02,3057.397,3069.296,36321138000
2024-04-08,3057.326,3077.351,3045.469,3047.053,40293674000
2024-04-09,3044.614,3051.585,3033.209,3048.537,33348996500
2024-04-10,3045.961,3049.607,3013.59,3027.335,34899172100
2024-04-11,3013.573,3050.337,3009.897,3034.246,34089439200
2024-04-12,3035.577,3043.56,3014.83,3019.474,33422977100
2024-04-15,3013.672,3066.941,2995.542,3057.378,46123924400
2024-04-16,3043.551,3052.435,3005.34,3007.068,44807047300
2024-04-17,3008.061,3071.381,3002.056,3071.381,41335836800
2024-04-18,3060.031,3102.553,3057.761,3074.225,41632134900
2024-04-19,3060.299,3080.323,3055.058,3065.261,37554385500
2024-04-22,3059.065,3078.423,3042.542,3044.595,35721639900
2024-04-23,3038.612,3044.944,3016.517,3021.978,32559512800
2024-04-24,3029.403,3045.64,3019.124,3044.822,30526409300
2024-04-25,3037.927,3060.264,3034.65,3052.9,29228014800
2024-04-26,3054.979,3092.43,3054.979,3088.636,43938256300
2024-04-29,3086.682,3119.686,3080.586,3113.043,50692544500
2024-04-30,3110.159,3123.288,3104.294,3104.825,44021321300
2024-05-06,3132.512,3142.382,3126.769,3140.72,45065689900
2024-05-07,3139.664,3151.219,3133.69,3147.738,37910256400
2024-05-08,3141.487,3144.986,3126.173,3128.48,33400032000
2024-05-09,3128.164,3158.465,3128.164,3154.32,36088146200
2024-05-10,3158.589,3163.144,3137.152,3154.547,38428749500
2024-05-13,3139.475,3157.366,3126.17,3148.021,39703056500
2024-05-14,3148.849,3155.807,3137.609,3145.774,34352619400
2024-05-15,3141.252,3142.973,3117.929,3119.902,32102796200
2024-05-16,3127.184,3137.878,3116.163,3122.401,36741736100
2024-05-17,3121.713,3154.026,3116.784,3154.026,38391524400
2024-05-20,3156.148,3174.266,3155.99,3171.145,42686728000
2024-05-21,3164.683,3165.224,3148.342,3157.966,33578357200
2024-05-22,3157.189,3166.919,3152.457,3158.54,35409808200
2024-05-23,3149.875,3150.628,3110.277,3116.387,35394372700
2024-05-24,3110.753,3130.425,3087.794,3088.871,30653227900
2024-05-27,3094.14,3125.506,3091.989,3124.043,31939676500
2024-05-28,3122.388,3130.31,3106.365,3109.572,31006697400
2024-05-29,3108.027,3128.137,3100.98,3111.018,28997034600
2024-05-30,3103.708,3121.218,3085.384,3091.678,30238076200
2024-05-31,3094.759,3107.604,3086.813,3086.813,27607281600
2024-06-03,3085.981,3097.204,3061.277,3078.489,35756336200
2024-06-04,3071.32,3095.322,3063.588,3091.199,30928759800
2024-06-05,3086.051,3092.346,3064.736,3065.403,29054234400
2024-06-06,3069.439,3077.673,3040.83,3048.794,36986710400
2024-06-07,3053.915,3065.025,3031.044,3051.279,31634248400
2024-06-11,3042.134,3043.2,3013.861,3028.045,31048194200
2024-06-12,3025.296,3042.042,3021.309,3037.468,27945210600
2024-06-13,3038.086,3040.402,3022.822,3028.919,29786246300
2024-06-14,3020.959,3037.905,3011.577,3032.633,34874675300
2024-06-17,3017.717,3026.624,3012.045,3015.891,29576344800
2024-06-18,3015.071,3031.976,3012.523,3030.246,27362599900
2024-06-19,3029.099,3030.226,3015.326,3018.049,26129624800
2024-06-20,3015.722,3028.514,3001.768,3005.437,29551590700
2024-06-21,2998.241,3011.914,2985.929,2998.138,25500125100
2024-06-24,2982.826,2990.643,2960.127,2963.099,29865388400
2024-06-25,2962.765,2971.653,2935.538,2949.996,27320993800
2024-06-26,2943.447,2976.669,2933.33,2972.525,28238840900
2024-06-27,2962.696,2963.064,2944.898,2945.852,27054851900
2024-06-28,2940.303,2985.468,2939.984,2967.403,31520143200
2024-07-01,2965.245,2996.409,2961.856,2994.73,29778223500
2024-07-02,2992.856,3004.987,2989.47,2997.011,28136468300
2024-07-03,2995.664,2998.537,2978.069,2982.376,24628464200
2024-07-04,2984.83,2995.57,2955.29,2957.567,27426878900
2024-07-05,2954.372,2957.107,2920.205,2949.933,27232455600
2024-07-08,2939.837,2947.61,2917.232,2922.45,27753342400
2024-07-09,2919.573,2963.782,2904.039,2959.372,31506203100
2024-07-10,2949.026,2958.859,2935.33,2939.364,30154945600
2024-07-11,2957.25,2971.361,2947.403,2970.387,32837242400
2024-07-12,2965.612,2977.142,2963.303,2971.295,30371301400
2024-07-15,2963.847,2977.313,2959.129,2974.011,26899259700
2024-07-16,2963.9,2977.361,2959.666,2976.304,26078363000
